GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RockomaxClientPortal,test,JavaTest1,0,9,0,2,0,4,0,3,0,2
RockomaxClientPortal,com.rcp.model,CRSReimbType,6,11,0,0,2,5,2,3,2,3
RockomaxClientPortal,com.rcp.model,CRSUsers.CRSUsersBuilder,5,43,0,0,2,16,1,8,1,8
RockomaxClientPortal,com.rcp.model,CRSReimb,12,68,0,0,4,20,4,8,4,8
RockomaxClientPortal,com.rcp.model,CRSReimbStatus,6,11,0,0,2,5,2,3,2,3
RockomaxClientPortal,com.rcp.model,RockomaxProjectsStatus,3,14,0,0,1,6,1,4,1,4
RockomaxClientPortal,com.rcp.model,CRSUsers,3,49,0,0,1,15,1,7,1,7
RockomaxClientPortal,com.rcp.model,RockomaxProjects.RockomaxProjectsBuilder,20,45,0,0,8,16,4,9,4,9
RockomaxClientPortal,com.rcp.model,RockomaxProjects,46,67,0,0,22,20,12,9,12,9
RockomaxClientPortal,com.rcp.model,CRSReimb.CRSReimbBuilder,15,55,0,0,6,20,3,11,3,11
RockomaxClientPortal,com.rcp.config,FileConnectionsUtil,3,56,1,1,2,16,1,3,0,3
RockomaxClientPortal,com.rcp,Driver,6,0,0,0,3,0,2,0,2,0
RockomaxClientPortal,com.rcp.repo,CRSUsersDAO,40,265,11,11,11,75,10,9,0,7
RockomaxClientPortal,com.rcp.repo,CRSReimbDAO,434,177,40,12,81,22,29,4,3,4
RockomaxClientPortal,com.rcp.repo,RockomaxProjectsDAO,674,159,86,14,77,27,53,4,3,4
RockomaxClientPortal,com.rcp.util,FileOpp,160,0,18,0,19,0,12,0,3,0
RockomaxClientPortal,com.rcp.util,ConnectionUtil,18,26,0,4,10,12,1,4,1,2
